🕘️更新时间,#genre#
2025-09-17 00:19:57,http://223.167.230.154:4022/rtp/239.45.1.125:5140

📺央视频道,#genre#
CETV-1,http://223.167.230.154:4022/rtp/239.45.1.125:5140
CETV-1,http://121.29.141.59:4022/rtp/239.253.92.211:6069
CETV-1,http://111.127.156.228:51234/rtp/239.29.0.95:5000
CETV-1,http://106.116.243.22:9999/rtp/239.254.200.225:6259
CETV-1,http://112.109.206.106:9999/rtp/239.255.40.201:8208
CETV-1,http://116.234.77.27:4022/rtp/239.45.1.125:5140
CETV-1,http://114.241.255.166:4022/rtp/239.3.1.57:8152
CETV-1,http://171.113.216.147:4022/rtp/239.69.1.110:10298
CETV-1,http://180.154.61.39:4022/rtp/239.45.1.125:5140
CETV-1,http://116.237.68.198:4022/rtp/239.45.1.125:5140
CETV-4,http://121.29.141.59:4022/rtp/239.253.92.200:6137
CETV-4,http://112.109.206.106:9999/rtp/239.255.40.31:8208
CETV-4,http://117.174.25.254:8188/rtp/239.0.0.98:5140
CETV-4,http://221.10.226.195:5000/rtp/239.0.0.98:5140

📡卫视频道,#genre#
湖南卫视,http://iptv.zkbhj.com/tv/url/go?id=67dd4562b4ce4edb1bc5eee87631bd5914bf8f16591693233093c5c91974172cc82774ab2cba0c3ab0060596ffb0adc68b159ebdfc0a79d0e46bdfab58d3819e
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
黑龙江卫视,http://iptv.zkbhj.com/tv/url/go?id=e6fa911b199dc9d2d6418f6b1508847614bf8f16591693233093c5c91974172cc82774ab2cba0c3ab0060596ffb0adc68b159ebdfc0a79d0e46bdfab58d3819e
重庆卫视,http://iptv.zkbhj.com/tv/url/go?id=d6e23dbdf0d35a4936a2d6615c1a3c2b14bf8f16591693233093c5c91974172cc82774ab2cba0c3ab0060596ffb0adc68b159ebdfc0a79d0e46bdfab58d3819e
东方卫视,http://iptv.zkbhj.com/tv/url/go?id=5807dd9aa7a50a68f5e3768116930afc361263489f88b1366196c2b8afd5fcddd943122389bb700795c25be7c9ca897cb45f3654cdddb6eafd540446f22c4cc9
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws&?key=txiptv
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://lxajh.top/tv/hn.php?id=hnws
河南卫视,http://223.167.230.154:4022/rtp/239.45.0.3:5140
河南卫视,http://116.234.77.27:4022/rtp/239.45.0.3:5140
河南卫视,http://180.165.1.43:9898/rtp/239.45.0.3:5140
河南卫视,http://180.165.12.90:4022/rtp/239.45.0.3:5140
西藏卫视,http://xxwx.yoesun.com/xxw/西藏网.php?id=ws&key=txiptv
云南卫视,http://116.234.77.27:4022/rtp/239.45.0.4:5140
云南卫视,http://223.167.230.154:4022/rtp/239.45.0.4:5140
云南卫视,http://223.167.245.215:8001/rtp/239.45.0.4:5140
云南卫视,http://180.165.12.90:4022/rtp/239.45.0.4:5140
云南卫视,http://180.165.1.43:9898/rtp/239.45.0.4:5140
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8

🎬电影频道,#genre#
经典电影,https://cdn.iptv8k.top/dl/jrys.php?id=396&time=20240926215313&ip=111.229.253.40
